                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.8076,                 1.5394,                 1.8466,                0.61239,                0.69773,                0.73906,                0.47536,                 1.5096,                 1.1441,                 1.6379,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.6889,                 1.4721,                 1.7524,                0.63962,                0.68624,                0.74335,                0.45927,                 1.5235,                 1.1362,                 1.6461,               0.000359,               0.000359,               0.000359
                     74,                 1.7565,                 1.4612,                  1.768,                0.63111,                0.71506,                0.75318,                0.47396,                 1.4854,                 1.1083,                 1.6284,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.7677,                 1.4988,                 1.8064,                 0.7364,                0.67289,                0.76939,                 0.4936,                 1.4588,                 1.1243,                 1.6142,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.7243,                  1.459,                 1.7769,                0.75364,                 0.6534,                0.78687,                 0.5137,                 1.4356,                 1.1272,                 1.5935,             0.00032188,             0.00032188,             0.00032188
                     77,                   1.74,                 1.4209,                 1.7229,                0.73884,                0.68204,                 0.7782,                0.49218,                 1.4755,                 1.1432,                 1.6068,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.7515,                 1.4551,                 1.7471,                 0.6113,                0.74882,                0.76431,                0.49448,                 1.4885,                 1.1658,                 1.6139,             0.00029713,             0.00029713,             0.00029713
                     79,                  1.678,                 1.4403,                 1.7302,                0.70609,                0.67473,                0.77403,                0.52165,                 1.4214,                 1.0896,                 1.5745,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.7673,                 1.4266,                 1.7247,                0.73146,                0.68155,                0.78882,                 0.5459,                 1.4166,                 1.0639,                 1.5702,             0.00027237,             0.00027237,             0.00027237
                     81,                  1.746,                  1.472,                 1.7738,                0.62407,                0.78486,                0.79464,                0.53073,                 1.4381,                 1.0562,                 1.5808,                0.00026,                0.00026,                0.00026
                     82,                 1.7096,                 1.3754,                 1.7037,                0.66866,                0.76916,                0.80485,                0.52915,                 1.4472,                 1.0657,                 1.5875,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.6401,                 1.3422,                 1.6861,                0.66938,                0.79032,                0.80345,                0.53125,                 1.4409,                 1.0375,                 1.5802,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.6654,                 1.3377,                 1.6746,                0.64167,                0.75026,                0.80796,                0.54738,                 1.4142,                 1.0345,                 1.5569,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.6316,                 1.3546,                 1.6615,                0.76408,                0.69058,                0.80544,                 0.5365,                 1.4179,                 1.0312,                 1.5613,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.6909,                 1.3632,                 1.6829,                0.76476,                0.72982,                0.81422,                0.54657,                 1.3963,                 1.0159,                 1.5572,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.6701,                 1.3719,                 1.7349,                0.76344,                 0.7546,                 0.8378,                0.56301,                 1.4026,                 1.0053,                 1.5508,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.7264,                 1.4389,                 1.7339,                 0.7313,                0.78414,                 0.8449,                0.58864,                 1.4375,                 1.0403,                 1.5544,             0.00017338,             0.00017338,             0.00017338
